model,rate_mm_yr,rate_sd_mm_yr,rate_sd_whitenoise_mm_yr,model_RMSE_cm,acf1,nll,AIC,model_RMSE_det_cm,n_hyper,hp_sf2,hp_ell_yr,hp_sn2,hp_sf2_short,hp_ell_short_yr,hp_sf2_long,hp_ell_long_yr,hp_sf2_m32,hp_ell_m32_yr,hp_sf2_qp,hp_lp_qp,hp_ld_qp_yr,LOO_RMSE_cm
St (constant annual+semiannual),2.463881386864826,1.812356167379073,0.944429791174789,9.534731160963458,0.5734249146449357,-2729.6622898130845,-5441.324579626169,,,,,,,,,,,,,,,9.558334609093695
"Bennett-type TVS (Kalman, RW seasonal + AR1)",2.4630334794305155,1.8527310468705944,,0.20507387865584273,-0.3864200769903837,-2619.286630229465,,9.534937032331756,,,,,,,,,,,,,,
GP (Matern 3/2; Xu et al. 2024),2.594288426578828,1.7535884793288596,,3.087513034986661,-0.3863166186479216,-2699.816638066537,-5385.633276133074,,3.0,0.007245397792079768,0.004894522733393024,0.00210634892461386,,,,,,,,,,6.832905315493674
GP-2M (two-scale Matern 3/2),2.523468499298076,2.4591764795115583,,0.0012495933455298229,-0.4250446915379092,-2741.355042321411,-5464.710084642822,,5.0,,,8.315287191035679e-07,0.006291953585610118,0.0023846899247243316,0.0032495779021398654,0.018684777541722746,,,,,,6.669836997864281
GP (Matern 1/2),2.5784881955135397,1.9652454697180015,,0.7462569843760437,-0.3685269375539778,-2714.820083195864,-5415.640166391728,,3.0,0.00903637703387567,0.00594074015295192,0.0005071973603970728,,,,,,,,,,6.807404111070671
GP (Matern 3/2 + quasi-periodic),2.49300481202594,1.6011563066903802,,2.448184170220603,-0.4195801215359038,-2718.495755554065,-5416.99151110813,,6.0,,,0.0016548265345904577,,,,,0.007057900296113608,0.00410528493311923,0.0007925389460126125,0.38244511676481524,54.598150033144236,6.76977609975096
"GP-2M-SA (two-scale Matern 3/2, annual+semiannual mean)",2.4350984128859383,2.2049387424847415,,0.0012486975290526676,-0.4193901419274113,-2751.434531678641,-5480.869063357282,,5.0,,,8.315287191035679e-07,0.006128376793021866,0.0023406844734976543,0.0029894692486668833,0.015427940768066339,,,,,,6.670551156089048
